_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3213312,324743806,23175119,10,2023-10-30T06:00:00,"60 Block Cortina Way Pittsburgh, PA 15234",N,Overbrook,3,SIMPLE ASSAULT,2701 Simple Assault.,3207,,,,
3213313,324941175,23177263,14,2023-11-07T21:10:00,"2100 Block Wylie Ave Pittsburgh, PA 15219",Y,Middle Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,501,6,3,-79.97924749008516,40.444890276742065
3213314,324946301,23177316,6,2023-11-07T23:30:00,"S 13th St & Fieger St Pittsburgh, PA 15203",Y,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1702,3,3,-79.98540576020977,40.430731731018135
3213315,324946519,23171631,6,2023-10-28T19:10:00,"1000 Block Harker St Pittsburgh, PA 15220",Y,Elliott,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,2020,2,5,-80.0432214603312,40.44249792644841
3213316,324948745,23177359,99,2023-11-08T02:43:00,"4700 Block Interboro Ave Pittsburgh, PA 15207",N,Lincoln Place,4,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,3102,5,3,-79.90936727558716,40.37688311885214
3213317,324871430,23176881,27,2023-11-06T11:20:00,"3200 Block Niagara St Pittsburgh, PA 15213",N,South Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,409,3,3,-79.9604312181213,40.4339267036077
3213318,325044399,23177429,14,2023-11-08T18:00:00,"300 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,705,,,,
3213319,325046823,23177997,99,2023-11-09T07:00:00,"100 Block Calhoun Ave Pittsburgh, PA 15210",N,Carrick,3,FOUND PROPERTY,9489 Found Property,2902,4,3,-79.98917018745355,40.40601076525762
3213320,-3712002520,23173047,5,2023-10-31T09:00:00,"7500 Block Bennett St Pittsburgh, PA 15208",N,Homewood South,5,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,1304,9,2,-79.89220741554816,40.45528382554382
3213321,324414962,23173011,6,2023-10-31T09:39:00,"500 Block N Taylor Ave Pittsburgh, PA 15212",Y,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 13(a)(31) Marijuana: Possession Small Amount / 1501 Drivers Required to be Licensed.,2206,1,1,-80.01233900798712,40.45657467249231
3213322,324428291,23173065,99,2023-10-27T10:48:00,"2600 Block Perrysville Br Pittsburgh, PA 15214",N,Perry South,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2615,6,1,-80.00847539788961,40.47114638432227
3213323,324444812,23173236,27,2023-10-31T16:35:00,"Kirkwood St & Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1115,9,2,-79.92235785872315,40.46122401801522
3213324,324446568,23173281,0,2023-10-31T10:45:00,"Forward Ave & Commercial St Pittsburgh, PA 15218",Y,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1408,5,3,-79.9058099276368,40.427660095667775
3213325,324462017,23173492,11,2023-11-01T02:10:00,"100 Block Poplargrove St Pittsburgh, PA 15210",N,Carrick,3,IDENTITY THEFT,4120 Identity Theft,2902,4,3,-79.98645852836628,40.39616848744541
3213326,324485311,23173603,6,2023-10-31T16:00:00,"Beatty Sq & Commerce St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,9,2,-79.92769988938458,40.45969430480338
3213327,324240711,23171643,6,2023-10-28T17:30:00,"Point State Park Pittsburgh, PA 15222",N,Central Oakland,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,405,,,NaN,NaN
3213328,-3708000706,23171706,10,2023-10-28T20:45:00,"3600 Block Forbes Ave Pittsburgh, PA 15213",Y,Central Oakland,4,HARRASSMENT,2709 Harassment (Non-Specific),405,3,3,-79.95744380996236,40.44027243912023
3213329,324247646,23171741,6,2023-10-28T21:30:00,"1800 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,305,6,3,-79.98322028048247,40.44221488797809
3213330,324247763,23171653,0,2023-10-28T19:03:00,"2000 Block Victoria St Arnold, PA 15068",N,Outside County,OSC,99,8104 CLASS 1 - Suspicious Package or Device,6699,,,,
3213331,324206030,23171073,29,2023-10-27T20:10:00,"200 Block Devilliers St Pittsburgh, PA 15219",N,Central Business District,2,RUNAWAYS - JUVENILE,029 Missing Juvenile,201,,,,
3213332,324216547,23171330,14,2023-10-28T05:32:00,"1300 Block Paulson Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,CRIM MISCHIEF,3304 Criminal Mischief.,1203,9,2,-79.90116533720962,40.468626799403125
3213333,324293343,23172442,14,2023-10-30T05:30:00,"1200 Block 5th Ave Pittsburgh, PA 15219",N,Bluff,2,CRIM MISCHIEF,3304 Criminal Mischief.,103,6,3,-79.98845370374711,40.43869325691536
3213334,324417127,23173107,0,2023-10-31T11:00:00,"3400 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,99,9993 PFA Service with Weapons Supplement,506,6,3,-79.9616500933705,40.45485487361505
3213335,324914393,23176949,10,2023-11-07T11:46:00,"Forbes Ave & Stanwix St Pittsburgh, PA 15222",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,6,6,-80.00398521602821,40.441169679270885
3213336,324930766,23177154,26,2023-11-07T17:46:00,"300 Block Linnview Ave Pittsburgh, PA 15210",Y,Carrick,3,CONCEALING DEATH BASTARD CHILD,4303 General Lighting Requirements. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 627.02(b)(i) Possessing a small amount of marijuana,2902,4,3,-79.98446684310788,40.40367764721117
3213337,324530445,23173776,0,2023-11-01T13:50:00,"200 Block Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,99,9999 9999 - (Misc. Incident): ,708,5,3,-79.92063686162334,40.430036065319804
3213338,324759027,23176178,6,2023-11-05T23:06:00,"500 Block Mc Clintock Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT FROM AUTO,3934 Theft from Vehicle,2614,,,,
3213339,324517985,23173670,0,2023-11-01T09:30:00,"300 Block 5th  Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.00029037044739,40.440526190504364
3213340,324632877,23174591,0,2023-11-03T00:18:00,"100 Block Bausman St Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,,,-79.98798440958119,40.41446289712673
3213341,324633839,23174279,0,2023-11-03T04:53:00,"100 Block Wabash St Pittsburgh, PA 15220",N,West End,6,99,9999 9999 - (Misc. Incident): ,2019,2,5,-80.03456004563895,40.438190895696124
3213342,325055236,23178008,10,2023-11-09T08:05:00,"5th Ave & Seneca St Pittsburgh, PA 15219",N,Bluff,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",103,6,3,-79.97589031441747,40.43815491716252
3213343,325059326,23177991,99,2023-11-09T07:00:00,"800 Block Freeland St Pittsburgh, PA 15210",N,Allentown,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1803,3,5,-79.99364180115597,40.419150905990875
3213344,324248941,23171838,99,2023-10-29T01:10:00,"7th Ave & Smithfield St Pittsburgh, PA 15219",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3703 Driving Upon Sidewalk.,201,6,6,-79.99684402529861,40.442838204871606
3213345,324252723,23171916,3,2023-10-29T03:30:00,"S 18th St & Sidney St Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3928 Unauthorized Use of Automobile and Other Vehicles.,1702,3,3,-79.98047172937527,40.429686856114635
3213346,324205821,23171049,10,2023-10-27T20:00:00,"500 Block N Negley Ave Pittsburgh, PA 15206",N,Garfield,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1114,9,2,-79.92772733738052,40.46781949813814
3213347,324207963,23170739,99,2023-10-27T10:45:00,"6400 Block Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,MENTAL 201/302,9498 302 (Mental),1115,,,,
3213348,324212725,23171176,0,2023-10-28T00:15:00,"800 Block Loyal Way Pittsburgh, PA 15210",Y,Allentown,3,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 3736 Reckless Driving / 1311 Registration Card to be Signed and Exhibited on Demand. / 1501 Drivers Required to be Licensed. / 1786 Required Financial Responsibility. / 3301 Driving on Right Side of Roadway.,1803,3,5,-79.99365721367347,40.419560428309936
3213349,324244013,23171700,6,2023-10-28T20:00:00,"3000 Block Iowa St Pittsburgh, PA 15219",N,Upper Hill,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,506,6,3,-79.95856426986792,40.4487881616035
3213350,324256251,23171978,6,2023-10-29T08:00:00,"Lawn St & Ophelia St Pittsburgh, PA 15213",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,409,6,3,-79.96577404988031,40.435747647646096
3213351,324256958,23172005,0,2023-10-29T09:35:00,"300 Block 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): Harassment,201,6,6,-80.00161356345536,40.438866132202165
3213352,324266286,23172120,99,2023-10-29T14:00:00,"7100 Block Mary Peck Bond Pl Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1201,,,,
3213353,324142246,23170635,6,2023-10-27T03:04:00,"100 Block 48th St Pittsburgh, PA 15201",N,Central Lawrenceville,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,901,,,,
3213354,324261049,23171909,10,2023-10-29T12:26:00,"3500 Block Fleming Ave Pittsburgh, PA 15212",N,Brighton Heights,1,SIMPLE ASSAULT,2701 Simple Assault. / 3304 Criminal Mischief.,2703,1,1,-80.03847786920598,40.47859549639946
3213355,324271166,23172252,3,2023-10-29T19:19:00,"Smithfield St & 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY,3701 Robbery.,201,6,6,-79.99989132962422,40.438220057480564
3213356,324273716,23172301,27,2023-10-29T19:25:00,"Liberty Ave & S Evaline St Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,804,7,2,-79.94218102313188,40.45799068653658
3213357,324275420,23172311,99,2023-10-29T20:57:00,"1700 Block Perrysville Ave Pittsburgh, PA 15212",N,Perry South,1,MENTAL 201/302,9498 302 (Mental),2614,6,1,-80.00954802182409,40.46056913246381
3213358,324276854,23172337,6,2023-10-29T18:55:00,"500 Block N Dunfermline St Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1303,9,2,-79.89474609616786,40.45316493826375
3213359,324289894,23172436,0,2023-10-30T05:35:00,"700 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,99,9999 9999 - (Misc. Incident): Cardiac arrest,103,6,6,-79.99459104985328,40.435334670473395
3213360,324324110,23172496,6,2023-10-30T09:00:00,"4400 Block Howley St Pittsburgh, PA 15224",N,Bloomfield,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,903,,,,
3213361,324335200,23172541,6,2023-10-30T07:30:00,"5800 Block Black St Pittsburgh, PA 15206",N,East Liberty,5,THEFT FROM AUTO,3934 Theft from Vehicle,1113,9,2,-79.92464652361116,40.46775216119375
3213362,324356346,23172682,27,2023-10-30T16:15:00,"5th Ave & Darragh St Pittsburgh, PA 15213",N,West Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,402,3,3,-79.96016834941912,40.44055453489371
3213363,324362050,23172750,0,2023-10-30T18:21:00,"Baum Blvd & Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,99,3112 Traffic-Control Signals. / 9999 9999 - (Misc. Incident): non-reportable crash,804,7,2,-79.93964316707483,40.45663498367191
3213364,324414975,23173040,27,2023-10-31T08:45:00,"1900 Block Ley St Pittsburgh, PA 15212",N,Troy Hill,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2406,1,1,-79.98176499533265,40.466015912648494
3213365,324447445,23173249,23,2023-10-31T17:00:00,"Liberty Ave & Tito Way Pittsburgh, PA 15222",N,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 9998 Overdose Other,201,6,6,-79.9989566937349,40.44268589865075
3213366,324450380,23173260,0,2023-10-31T17:12:00,"7200 Block Mt Vernon St Pittsburgh, PA 15208",N,Homewood North,5,99,9999 9999 - (Misc. Incident): ,1302,9,2,-79.89440108300467,40.46119407835219
3213367,324452478,23170883,0,2023-10-31T20:30:00,"300 Block 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9994 PFA Service,201,6,6,-80.00161356345536,40.438866132202165
3213368,324484595,23173580,6,2023-11-01T07:15:00,"1700 Block Jane St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 7613(a) Computer Theft,1702,3,3,-79.98198023689191,40.426880679342375
3213369,324485966,23173604,27,2023-10-28T15:00:00,"Chauncey Dr & Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,509,6,3,-79.97462341864299,40.44981218131871
3213370,324490233,23173617,6,2023-10-31T00:01:00,"1300 Block Paulson Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1203,9,2,-79.90116533720962,40.468626799403125
3213371,324493716,23173627,6,2023-11-01T10:00:00,"Smithfield St & Forbes Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.99909673065397,40.43942106406773
3213372,324506017,23173658,10,2023-11-01T11:00:00,"1400 Block Chicago St Pittsburgh, PA 15214",N,Northview Heights,1,HARRASSMENT,2709(a) Harassment.,2609,,,,
3213373,324511764,23173675,10,2023-11-01T12:00:00,"800 Block College Ave Pittsburgh, PA 15232",N,Shadyside,4,HARRASSMENT,2709(a) Harassment.,706,,,,
3213374,324515006,23173716,17,2023-10-27T23:40:00,Zone 4,N,,4,INDECENT EXPOSURE,3127 Indecent Exposure.,,,,,
3213375,324516574,23173706,6,2023-11-01T12:15:00,"3000 Block Liberty Ave Pittsburgh, PA 15201",N,Polish Hill,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,605,7,6,-79.9714262593693,40.4583634275947
3213376,324518121,23173728,27,2023-10-31T19:30:00,"200 Block S Aiken Ave Pittsburgh, PA 15206",N,Bloomfield,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,806,7,2,-79.93760873906452,40.46332747211888
3213377,324518616,23173688,0,2023-11-01T12:20:00,Kerwick Ct,N,Outside State,5,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),7799,,,,
3213378,324522827,23173708,0,2023-11-01T13:11:00,"60 Block Emerald St Pittsburgh, PA 15210",N,Allentown,3,99,9999 9999 - (Misc. Incident): ,1803,3,5,-79.9917843180563,40.423366366804935
3213379,324523426,23173747,27,2023-11-01T13:45:00,"Sherwood Ave & Zephyr Ave Pittsburgh, PA 15204",N,Sheraden,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2018,2,5,-80.05292544464572,40.455751477134534
